33, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,10008.60891, +j -10004.38849 ,-8.608905455, +j 4.388487596  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
2.1,-8.608905455, +j 4.388487596  ,13.41150408, +j -8.254622891 ,-1.610583671, +j 0.820319594  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-3.191391028, +j 3.045443268  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
3.1,0, +j 0            ,-1.610583671, +j 0.820319594  ,5.291562677, +j -2.957860997 ,-2.169519367, +j 1.104913689  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-1.510898106, +j 1.032380067  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
4.1,0, +j 0            ,0, +j 0            ,-2.169519367, +j 1.104913689  ,4.25378342, +j -2.166577456 ,-2.083515343, +j 1.061165909  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
5.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,-2.083515343, +j 1.061165909  ,2.783524931, +j -1.665310425 ,-0.699635233, +j 0.6039586199 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
6.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-0.699635233, +j 0.6039586199 ,5.059228065, +j -4.076886944 ,-0.447892665, +j 1.480534087  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-3.911325812, +j 1.992271374  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
7.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-0.447892665, +j 1.480534087  ,1.716415532, +j -1.899959593 ,-1.267275017, +j 0.4188028626 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
8.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-1.267275017, +j 0.4188028626 ,1.908871018, +j -0.8794814589,-0.640348151, +j 0.4600559528 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
9.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-0.640348151, +j 0.4600559528 ,1.278265741, +j -0.9120779181,-0.637543236, +j 0.4518984621 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
10.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-0.637543236, +j 0.4518984621 ,5.223173498, +j -1.968001792 ,-4.585255907, +j 1.515979827  ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
11.1,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,-4.585255907, +j 1.515979827  ,6.993225845, +j -2.312297986 ,-2.407689171, +j 0.7961322634 ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            ,0, +j 0            
